192607,2.75,3.48,2.46,2.09,1.89,7.04,6.32,7.45,7.55,6.16,14.53,13.44,14.66,14.26,13.32,38.79,35.56,38.67,37.06,30.49,191.52,233.65,221.9,190.12,118.66
192608,2.85,3.46,2.41,2.1,1.93,7.18,6.47,7.48,7.41,6.14,14.78,13.71,14.64,14.68,13.16,39.24,36.07,39.01,37.09,31.24,197.76,247.31,226.09,195.17,119.33
192609,2.79,3.16,2.46,2.1,2.09,7.33,6.37,7.74,7.44,6.52,14.63,14.02,14.87,15.28,14.2,39.67,37.3,39.69,37.77,32.76,199.03,257.19,237.49,204.83,128.59
192610,2.61,3.14,2.3,2.06,2.11,7.1,6.22,7.8,7.17,6.46,14.41,13.96,14.44,15.67,13.69,39.9,36.84,38.69,38.06,33.05,195.51,264.52,236.74,202.91,124.43
192611,2.37,3.02,2.17,2.18,2.05,6.97,6.02,7.39,6.57,6.37,13.62,13.54,14.45,15.28,13.26,38.4,35.83,37.8,36.83,31.28,189.77,256.01,230.96,192.71,117.2
192612,2.45,3.22,2.21,2.07,2.06,7.16,5.85,7.7,6.86,6.55,13.87,14.13,14.38,15.99,13.7,39.65,36.5,39.12,38.5,31.71,196.82,260.54,232.9,198.72,120.2
192701,2.79,3.15,2.18,2.13,2.13,7.33,6.05,7.75,7.01,6.88,13.37,14.33,14.09,16.34,13.91,40.68,37.1,39.47,39.36,31.76,198.65,266.75,235.73,210.13,122.06
192702,2.8,2.89,2.07,2.33,2.23,7.51,5.79,7.72,7.04,7.64,13.25,14.26,14,16.66,14.2,41.48,37.61,39.16,39.36,34.08,196.78,266.8,234.42,210.18,127.2
192703,2.87,2.88,2.29,2.42,2.45,7.64,6.29,8.28,7.34,8.22,14.06,15.03,14.58,17.65,16.06,43.54,39.04,39.99,41.92,37.84,202.63,279.63,240.99,219.91,135.18
192704,3.05,2.83,2.1,2.35,2.36,7.44,6.21,8.08,7.25,8.17,14.01,14.38,14.32,17.23,15.12,42.36,38.84,38.82,41.01,39.18,202.73,282.84,239.31,220.72,128.96
192705,3.22,3.05,2.18,2.43,2.52,7.27,5.84,8.04,7.19,8.54,13.62,14.51,14.1,17.54,15.36,42.13,39.51,38.25,40.95,41.44,207.69,284.77,238.48,219.23,124.4
192706,3.48,3.32,2.2,2.83,2.77,7.81,6.07,8.45,7.81,9.69,14.03,15.46,14.9,18.71,17.28,43.92,41.77,39.63,43.75,44.49,218.82,296.74,250.22,230.32,130.34
